@relation num

@attribute feat0 numeric
@attribute feat1 numeric
@attribute feat2 numeric
@attribute feat3 numeric
@attribute feat4 numeric
@attribute feat5 numeric
@attribute feat6 numeric
@attribute feat7 numeric
@attribute feat8 numeric
@attribute feat9 numeric
@attribute feat10 numeric
@attribute feat11 numeric
@attribute feat12 numeric
@attribute feat13 numeric
@attribute feat14 numeric
@attribute feat15 numeric
@attribute feat16 numeric
@attribute feat17 numeric
@attribute feat18 numeric
@attribute feat19 numeric
@attribute feat20 numeric
@attribute feat21 numeric
@attribute feat22 numeric
@attribute feat23 numeric
@attribute feat24 numeric
@attribute feat25 numeric
@attribute feat26 numeric
@attribute feat27 numeric
@attribute feat28 numeric
@attribute feat29 numeric
@attribute feat30 numeric
@attribute feat31 numeric
@attribute feat32 numeric
@attribute feat33 numeric
@attribute feat34 numeric
@attribute feat35 numeric
@attribute feat36 numeric
@attribute feat37 numeric
@attribute feat38 numeric
@attribute feat39 numeric
@attribute feat40 numeric
@attribute feat41 numeric
@attribute feat42 numeric
@attribute feat43 numeric
@attribute feat44 numeric
@attribute feat45 numeric
@attribute feat46 numeric
@attribute feat47 numeric
@attribute feat48 numeric
@attribute feat49 numeric
@attribute feat50 numeric
@attribute feat51 numeric
@attribute feat52 numeric
@attribute feat53 numeric
@attribute feat54 numeric
@attribute feat55 numeric
@attribute feat56 numeric
@attribute feat57 numeric
@attribute feat58 numeric
@attribute feat59 numeric
@attribute sign {1,2,3,4,5}

@data
23.79742,-1.8588104,53.72411,9.262705,-42.03312,32.376453,-5.3253374,-65.846085,15.515559,-16.461357,-81.078285,3.4591093,-5.7679987,-30.215843,-14.281047,-33.18201,-44.052937,-41.605347,-50.053844,-51.594475,-55.50674,-62.695896,-56.765587,-64.487755,-7.3454866,-10.224609,-21.075151,-42.151573,-16.689896,-50.629486,-65.210365,-20.767273,-64.481674,-81.44961,-23.546906,-71.68052,-7.714487,11.567116,-21.623535,-41.56233,11.206856,-47.73044,-64.42901,10.393837,-61.10691,-80.63135,9.554085,-68.61268,-10.511228,31.555801,-18.113552,-35.192223,26.689728,-40.73359,-50.105083,23.321198,-51.5244,-63.9519,19.936462,-59.817787,1
19.837662,-3.2768784,55.242935,18.100826,-43.643475,29.777727,12.389458,-68.62038,9.58633,7.9332886,-85.39117,-4.565425,-2.2982445,-29.657349,-16.290342,-26.582024,-43.865288,-46.2577,-41.945793,-51.800846,-61.612305,-53.656654,-57.342464,-71.5806,-4.940441,-9.470154,-22.103596,-35.63177,-16.22564,-55.85456,-56.49387,-20.877342,-72.68759,-71.4581,-24.24028,-82.06976,-6.9843206,12.227409,-21.508104,-37.64558,11.739418,-51.291077,-58.684948,10.577316,-67.3681,-73.7705,9.361916,-76.8816,-11.599305,31.707611,-17.15922,-34.01385,28.677841,-42.31682,-47.757557,26.10794,-54.75419,-60.65392,23.269547,-64.63338,1
20.51595,-5.5706406,55.398514,28.389866,-41.588543,25.039526,28.642597,-64.37471,1.6967573,28.225315,-79.75407,-14.572545,4.9402485,-27.069931,-19.422047,-15.473821,-42.730663,-51.478523,-28.689518,-52.10575,-67.97808,-38.903736,-58.99152,-78.724075,-2.4956694,-7.5206985,-22.713333,-30.668331,-16.831886,-58.016663,-49.733467,-23.974365,-76.06443,-63.38621,-29.462479,-86.39621,-9.676194,12.803314,-19.443697,-38.60999,9.5323105,-50.74086,-58.486187,5.772949,-67.86629,-72.74005,2.3704453,-78.10387,-18.800137,29.898552,-12.795706,-39.636147,29.732307,-39.44771,-52.429066,28.153175,-53.01346,-64.460884,25.749939,-64.033035,1
14.320555,-13.291962,55.446358,26.63691,-44.351692,21.320759,29.834557,-63.381367,-4.9814177,31.59431,-76.22986,-23.23542,8.376322,-23.402145,-23.073627,-7.5125446,-34.586395,-59.29609,-18.352278,-41.75028,-78.42621,-26.989866,-47.249836,-91.16856,0.36206055,-3.8394547,-24.244347,-23.07208,-8.406258,-63.69948,-39.526413,-13.219536,-84.82538,-51.578857,-17.432838,-97.48434,-8.175779,15.476227,-18.82901,-31.993685,17.341827,-54.27761,-49.054123,16.251472,-74.531715,-61.61473,14.345291,-87.1077,-18.855719,31.013603,-10.815405,-36.481056,36.04734,-39.249626,-47.629387,37.08004,-54.243973,-58.32036,36.75654,-66.79664,1
-1.1299477,11.8731,-30.813007,-30.727077,15.663086,-57.520367,-46.810295,11.157608,-72.639946,-57.174232,4.494583,-82.73036,50.59813,-21.567375,15.964806,23.179438,-30.834671,-20.466305,-3.3967857,-40.746037,-34.800854,-23.240078,-48.405914,-39.643024,-14.386407,11.82122,-15.00951,-24.559834,-25.604378,-37.688423,-6.811139,-40.86867,-25.257133,5.376522,-39.549225,-12.745781,-23.476936,7.864334,3.774414,-35.16651,-24.374695,-19.855904,-16.255024,-39.724033,-11.283543,-3.012661,-38.532413,-0.03555298,-30.616192,-0.17102814,20.591011,-36.169525,-24.79789,-0.59716797,-21.501543,-34.403164,4.398079,-9.131865,-33.69239,14.626381,1
-1.7606468,14.523819,-29.625114,-30.86995,16.596786,-57.04752,-45.739906,10.483574,-72.82991,-54.664513,2.539917,-83.35955,51.83672,-19.562454,14.507309,22.487404,-27.957047,-20.60738,-4.61298,-38.850227,-33.134068,-24.275925,-47.643986,-36.585876,-15.063491,12.166649,-14.037781,-23.071505,-23.312904,-40.411636,-4.5291004,-38.811626,-29.524914,7.5563927,-38.08876,-16.866627,-23.965527,5.9315796,4.2107315,-33.345173,-24.765015,-22.324802,-13.543473,-39.701046,-15.145691,-0.3692608,-38.88732,-3.7845535,-30.64021,-4.0494995,20.153145,-37.181084,-25.356544,-4.126213,-22.299038,-35.371452,-0.8719864,-9.909198,-35.24962,9.355881,1
-2.8317204,16.295746,-28.60277,-32.00282,17.788933,-55.997196,-46.27688,11.062683,-72.077614,-54.398132,2.634758,-82.877556,52.876938,-17.997688,12.6613655,20.742926,-24.388786,-20.37577,-6.903427,-35.27147,-31.656572,-26.426678,-44.391296,-35.054832,-15.798497,12.321541,-13.060726,-22.752907,-21.567978,-41.725063,-3.4404945,-37.06492,-32.26847,8.8285885,-36.768562,-19.770645,-24.154373,4.5175858,4.839226,-32.352806,-24.924042,-23.451586,-11.837677,-39.51664,-17.714214,1.5856476,-39.113937,-6.62595,-30.143877,-6.7680206,20.172031,-36.397068,-26.529213,-5.4532166,-21.122013,-36.241318,-3.2826805,-8.510948,-36.428596,6.6701202,1
-2.5061302,15.857948,-28.877905,-31.730705,18.071297,-56.16641,-46.29311,11.371353,-71.99733,-54.68142,2.790474,-82.46768,52.15288,-20.268387,12.225666,18.546047,-24.251923,-19.705595,-10.172678,-33.618393,-29.58052,-30.285603,-41.631783,-32.2512,-15.398584,12.8116455,-13.066784,-24.407457,-21.260498,-40.9314,-5.7338276,-37.54931,-31.522785,6.759514,-37.694344,-19.246412,-23.83116,5.7648087,5.1091423,-33.632668,-23.979424,-22.342718,-13.780447,-39.525673,-16.78075,-0.073820114,-39.808853,-6.04084,-30.107374,-4.92218,20.753033,-37.70792,-24.863274,-4.363594,-22.969236,-35.430473,-2.5010605,-10.068287,-36.37786,7.027855,1
3.609352,10.097977,-31.252075,-23.033337,18.179527,-60.035625,-39.479416,14.761757,-75.04949,-50.877583,8.33152,-84.12459,39.144733,-37.68229,18.10891,7.5568047,-34.049988,-15.860233,-22.144785,-32.561867,-27.067873,-43.552353,-31.855865,-31.202381,-8.945661,15.547165,-15.819485,-30.939178,-17.795341,-36.38815,-20.067371,-37.877617,-22.93238,-8.457333,-41.050446,-10.2062645,-19.069172,15.98497,2.8474197,-39.104008,-14.124344,-17.80271,-26.100704,-33.89354,-7.4670906,-13.340104,-37.11792,3.937645,-28.830551,11.831642,19.753021,-45.044174,-6.73925,-2.1216393,-36.39236,-22.279434,1.8798904,-24.894262,-27.330727,11.900398,1
4.5208626,4.2347946,-32.45484,-21.115505,15.835503,-60.9476,-39.09462,15.914757,-74.52391,-52.695908,12.613853,-82.1221,24.99744,-46.49072,22.224724,-5.643281,-34.029057,-10.497536,-33.74791,-22.603447,-19.963032,-53.945454,-14.394066,-19.226906,-4.195734,15.615189,-17.622633,-36.667282,-12.833435,-30.063766,-30.277481,-32.19615,-13.128374,-18.883997,-36.426163,-0.5145149,-12.122289,21.890495,1.0567894,-41.515755,-4.293907,-12.53714,-33.472996,-24.675552,1.124279,-21.275106,-29.691307,12.497547,-21.42391,23.560333,18.63591,-44.66293,9.465073,-0.006298065,-41.767822,-7.5635605,5.825321,-32.08557,-15.209038,16.117699,1
