@relation numRight

@attribute feat0 numeric
@attribute feat1 numeric
@attribute feat2 numeric
@attribute feat3 numeric
@attribute feat4 numeric
@attribute feat5 numeric
@attribute feat6 numeric
@attribute feat7 numeric
@attribute feat8 numeric
@attribute feat9 numeric
@attribute feat10 numeric
@attribute feat11 numeric
@attribute feat12 numeric
@attribute feat13 numeric
@attribute feat14 numeric
@attribute feat15 numeric
@attribute feat16 numeric
@attribute feat17 numeric
@attribute feat18 numeric
@attribute feat19 numeric
@attribute feat20 numeric
@attribute feat21 numeric
@attribute feat22 numeric
@attribute feat23 numeric
@attribute feat24 numeric
@attribute feat25 numeric
@attribute feat26 numeric
@attribute feat27 numeric
@attribute feat28 numeric
@attribute feat29 numeric
@attribute feat30 numeric
@attribute feat31 numeric
@attribute feat32 numeric
@attribute feat33 numeric
@attribute feat34 numeric
@attribute feat35 numeric
@attribute feat36 numeric
@attribute feat37 numeric
@attribute feat38 numeric
@attribute feat39 numeric
@attribute feat40 numeric
@attribute feat41 numeric
@attribute feat42 numeric
@attribute feat43 numeric
@attribute feat44 numeric
@attribute feat45 numeric
@attribute feat46 numeric
@attribute feat47 numeric
@attribute feat48 numeric
@attribute feat49 numeric
@attribute feat50 numeric
@attribute feat51 numeric
@attribute feat52 numeric
@attribute feat53 numeric
@attribute feat54 numeric
@attribute feat55 numeric
@attribute feat56 numeric
@attribute feat57 numeric
@attribute feat58 numeric
@attribute feat59 numeric
@attribute sign {1,2,3,4,5}

@data
9.940676,-9.673775,-28.060442,-10.552,-24.764229,-56.195618,-26.139517,-26.391323,-70.68441,-38.236145,-24.031326,-79.38661,15.437122,50.111664,13.945719,-3.45603,32.375877,-21.71204,-18.450521,19.542671,-44.448685,-30.580854,10.17305,-58.310974,0.39600754,-18.301186,-13.351933,-31.403498,-16.919205,-41.60943,-49.00525,-2.7395248,-52.548027,-58.377693,10.397247,-56.41417,-9.501623,-21.389923,3.8929186,-38.2761,-20.523201,-23.086544,-54.339577,-6.499527,-35.07367,-62.7442,6.8207397,-39.98706,-20.900274,-20.628868,18.959276,-45.02024,-20.019829,-0.8591862,-54.33075,-9.798462,-11.209717,-59.083008,2.7098465,-18.464458,1
9.295289,-12.563217,-27.121035,-13.218968,-25.86974,-54.603832,-29.0388,-26.025429,-68.93046,-40.836475,-22.56031,-77.67312,19.60657,49.5046,10.43279,-0.4943657,30.826096,-24.06432,-16.38789,17.654099,-45.98179,-29.194496,8.344948,-59.26442,-1.0817175,-19.21511,-11.957157,-32.37219,-16.74385,-40.70439,-48.234184,-1.2198563,-52.44921,-55.9363,12.798569,-56.868008,-11.351216,-20.144302,5.3217993,-39.447254,-18.615417,-22.334808,-53.8822,-3.7243118,-35.306988,-60.783962,10.172585,-40.915043,-22.7645,-17.282913,20.122238,-46.28273,-15.704163,-0.3549633,-54.23054,-5.104187,-11.435036,-57.42264,7.5068207,-19.337315,1
8.054071,-12.1534195,-27.698622,-16.048092,-21.78437,-55.367916,-32.029667,-20.000877,-69.40187,-43.646095,-15.371353,-77.84299,23.113071,47.621277,11.915016,1.3012838,31.654388,-22.902933,-15.767078,20.423065,-45.016487,-29.373219,12.5121155,-58.410057,-2.5610237,-18.637589,-12.627178,-33.785774,-11.803436,-40.732582,-47.979927,6.290184,-50.81647,-53.985786,21.482605,-53.729298,-12.646183,-19.50254,4.7633305,-40.59619,-13.527031,-22.434155,-53.23735,4.1422806,-33.67632,-58.325348,19.330757,-37.62994,-23.642418,-16.41784,19.832207,-46.661163,-11.765442,-0.7446718,-53.38099,0.3833847,-11.0182,-55.17173,13.884544,-17.81414,1
5.4915276,-11.453743,-28.608429,-20.409979,-15.260223,-56.065346,-36.194702,-10.28331,-69.54185,-47.158493,-3.597351,-77.46142,30.430986,42.67949,14.013676,5.661749,32.473396,-20.990688,-13.418051,25.406822,-43.18316,-28.376322,20.53292,-56.584396,-5.6736298,-17.186867,-13.630325,-33.935593,2.7837448,-38.410164,-42.218483,25.910797,-43.613167,-43.65001,42.432373,-43.01927,-15.399115,-17.606544,3.9801025,-40.518074,1.0478821,-20.054512,-46.76648,23.85125,-26.327776,-46.7726,40.347733,-26.60112,-25.464663,-13.844208,19.537516,-45.247063,-0.36962128,-0.5126047,-47.49257,14.846725,-8.368554,-45.00634,29.302666,-12.432712,1
5.284178,-11.219894,-28.739845,-20.844162,-14.474609,-56.052414,-36.68352,-9.424896,-69.43742,-47.697346,-2.7982254,-77.33737,30.65207,42.457596,14.20459,5.626997,32.63536,-20.727552,-13.620068,25.823029,-42.854996,-28.683365,21.11393,-56.19738,-5.8102913,-17.048477,-13.746061,-31.930729,8.326622,-35.778564,-37.520603,32.72136,-37.825127,-37.242947,49.111572,-35.246696,-15.432228,-17.591522,3.9177914,-38.232044,6.407669,-17.54893,-41.447765,30.430267,-20.860102,-39.52914,46.743164,-19.305462,-25.39286,-13.93364,19.567368,-42.276936,3.6721954,0.076909065,-42.13119,19.845978,-5.979729,-37.908108,34.28562,-8.289511,1
4.356163,-8.584473,-29.784525,-22.727684,-9.001213,-56.346737,-38.966522,-2.8834915,-68.77319,-50.249474,4.209297,-75.84523,31.148537,41.051323,16.986023,5.003872,34.370483,-17.868074,-14.954258,29.545502,-39.887917,-30.447227,26.03231,-53.10621,-6.267212,-15.752144,-15.031845,-31.595043,13.944748,-32.0083,-35.71517,38.645714,-30.157623,-34.473766,54.46882,-25.314802,-15.326565,-17.893593,2.8071766,-38.318672,8.591751,-15.262201,-41.16326,32.87954,-15.895851,-38.92572,48.914055,-12.718385,-24.781937,-15.67057,19.029312,-41.35244,4.591362,2.0061493,-40.728447,21.3656,-2.0596504,-36.12345,35.857597,-2.7296457,1
4.4213123,-9.106689,-29.619377,-21.911331,-7.2586746,-56.867065,-37.24734,-0.007713318,-69.81981,-47.744785,7.78566,-77.34931,33.99701,38.42318,17.658709,8.320114,33.718826,-17.859613,-11.381569,30.431038,-40.38771,-26.759808,28.135185,-54.001556,-7.1540413,-15.271103,-15.131993,-29.069221,16.830498,-32.47606,-30.797459,41.798363,-30.437197,-28.160175,57.386864,-25.396564,-16.83493,-16.537407,2.462473,-36.935764,11.798721,-16.236006,-37.629772,36.240364,-16.953259,-34.096493,52.030693,-13.729921,-26.503075,-13.431793,18.411947,-40.683643,8.197342,0.91888046,-38.43777,24.84449,-3.0965595,-32.549717,38.870857,-3.611103,1
5.0246277,-13.442223,-27.818106,-16.366077,-7.941841,-58.66358,-27.473309,1.2575989,-74.39708,-34.492313,10.334061,-84.1939,41.30304,29.495163,19.184923,18.789356,29.445602,-18.711206,0.3228836,30.368073,-42.47293,-14.613514,31.772652,-56.686623,-9.429497,-14.430374,-14.704183,-18.976528,20.187447,-37.55292,-13.592861,44.71376,-37.67236,-7.1332207,59.408813,-33.466072,-21.03735,-10.889557,1.3460102,-29.111088,20.061264,-21.751043,-22.185154,43.420013,-23.939735,-14.43848,57.722244,-21.175034,-31.18871,-3.3760529,15.417284,-36.44875,19.033318,-5.6793385,-29.1049,33.844795,-10.67768,-19.455463,45.588806,-11.477429,1
6.7080803,-14.7333145,-26.790268,-11.897324,-8.6636505,-59.290382,-21.095848,1.1002045,-75.89152,-26.647812,10.61834,-86.197205,40.93491,28.246574,21.68942,19.17527,30.15078,-16.597351,-1.8818169,33.76026,-37.811775,-18.896797,37.34324,-48.98096,-8.847191,-14.531933,-14.963768,-14.586502,19.638268,-39.68344,-7.928772,43.847366,-40.04702,-1.0928345,58.330284,-35.70195,-21.59465,-9.829582,-0.12198448,-25.980118,20.655731,-24.780174,-17.642715,43.541122,-27.046614,-9.409554,57.52001,-24.044271,-32.524208,-1.3071213,12.739433,-34.863647,20.4385,-9.544422,-26.445572,34.71556,-14.402099,-16.24202,46.004158,-14.760039,1
8.197182,-15.979206,-25.637054,-7.918316,-9.927597,-59.444275,-15.515705,-0.01738739,-76.75354,-19.894543,9.630333,-87.49476,40.068012,28.003113,23.544579,22.536846,29.506432,-16.870556,4.3031044,32.947594,-40.58068,-11.635433,36.790047,-53.16227,-8.162586,-14.885521,-15.005256,-11.045391,18.424522,-41.344105,-3.6508255,42.410217,-42.0821,3.279934,56.854095,-37.75734,-21.809269,-9.248718,-1.3347445,-23.442646,20.35965,-27.359533,-14.269489,42.90136,-29.832258,-5.860794,56.755447,-26.739275,-33.387287,0.075172424,10.34935,-33.47624,20.927979,-12.890011,-24.34122,34.78604,-17.665009,-13.839596,45.803642,-17.702679,1
